City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
253,Charcas,MX,2022-09-03 00:59:19,23.1333,-101.1167,69.53,58,97,16.91
254,Sibolga,ID,2022-09-03 00:59:20,1.7427,98.7792,76.08,93,100,3.83
255,Ponta Do Sol,PT,2022-09-03 00:59:20,32.6667,-17.1,72.23,77,14,4.99
256,Oranjemund,NA,2022-09-03 00:59:21,-28.55,16.4333,50.61,81,0,4.16
257,Puerto Berrio,CO,2022-09-03 00:55:04,6.4916,-74.4033,76.32,88,100,2.44
258,Mvuma,ZW,2022-09-03 00:59:21,-19.2792,30.5283,46.42,75,10,4.43
259,Makakilo City,US,2022-09-03 00:59:22,21.3469,-158.0858,85.75,52,20,14.97
260,Teahupoo,PF,2022-09-03 00:59:22,-17.8333,-149.2667,76.96,73,15,19.26
261,Avera,US,2022-09-03 00:59:22,33.194,-82.5271,75.38,87,100,6.22
262,San Fernando,PH,2022-09-03 00:59:23,15.0286,120.6898,80.33,90,100,6.91
263,Governador Valadares,BR,2022-09-03 00:59:23,-18.8511,-41.9494,67.12,68,0,5.01
264,Hasaki,JP,2022-09-03 00:58:21,35.7333,140.8333,77.29,84,43,13.31
265,Nome,US,2022-09-03 00:59:24,64.5011,-165.4064,55.17,90,100,2.66
266,Tuatapere,NZ,2022-09-03 00:59:24,-46.1333,167.6833,44.04,85,100,14.43
267,Chiredzi,ZW,2022-09-03 00:59:24,-21.05,31.6667,54.97,62,0,1.16
268,Swellendam,ZA,2022-09-03 00:59:25,-34.0226,20.4417,51.44,68,5,6.55
269,Cheyenne,US,2022-09-03 00:55:06,41.14,-104.8203,79.99,26,69,18.99
270,Nueva Guinea,NI,2022-09-03 00:59:25,11.6876,-84.4562,73.99,90,96,6.26
271,Los Llanos De Aridane,ES,2022-09-03 00:59:26,28.6585,-17.9182,72.12,97,100,11.5
272,Khilok,RU,2022-09-03 00:59:26,51.3674,110.4676,63.52,55,42,3.42
273,Ca Mau,VN,2022-09-03 00:59:26,9.1769,105.15,84.15,77,100,7.27
274,Aborlan,PH,2022-09-03 00:59:27,9.4352,118.5492,80.67,74,98,2.68
